MPC	69	35	0	0	0	0	0	99	112	364	234	1	1	5	13	9	8	7	5	9	25	9	15	1	16	11	13	12	31	16	22	31	35	44	37	69	115	327	142	137	59	166	84	167
MPC	70	59	0	0	0	0	0	85	141	394	206	0	1	12	14	10	9	7	9	8	30	2	17	5	10	10	8	13	41	14	25	38	27	35	35	87	124	340	136	155	47	159	86	162
MPC	71	43	0	0	0	0	0	101	97	391	193	0	4	5	14	15	9	7	8	11	30	10	14	7	11	13	8	12	38	17	25	42	33	36	42	76	106	334	122	161	61	149	70	120
MPC	72	28	0	0	0	0	0	102	101	394	196	0	2	9	18	12	14	7	4	12	24	7	16	11	15	8	17	17	47	16	17	41	30	49	47	65	142	405	133	151	62	185	59	109
MPC	73	180	0	0	0	0	0	131	124	432	177	0	2	7	11	18	14	4	10	6	24	14	19	6	14	5	10	18	33	16	26	44	29	62	44	109	131	392	150	161	41	166	59	78
MPC	74	109	0	0	0	0	0	109	122	399	172	0	8	11	10	12	10	7	9	10	29	10	15	6	11	14	14	19	35	19	16	46	33	60	65	79	170	445	138	162	35	181	51	63
MPC	75	16	0	0	0	0	0	93	86	352	158	0	3	10	16	13	3	5	4	12	30	4	20	5	13	16	17	18	18	21	19	30	53	44	53	99	140	517	147	172	35	143	37	84
MPC	76	198	0	0	0	0	0	117	101	395	131	0	4	10	11	7	8	11	7	6	23	4	11	8	16	14	15	14	25	16	19	50	42	46	75	110	205	538	153	171	35	132	34	51
MPC	77	23	0	0	0	0	0	98	56	408	120	0	9	4	16	12	10	4	13	9	27	7	17	4	10	11	19	17	49	19	15	48	49	57	67	100	190	560	186	201	25	136	33	58
MPC	78	1	0	0	0	0	0	104	81	475	146	0	8	12	19	15	9	5	9	20	54	11	22	5	13	16	13	19	38	30	17	72	37	65	66	104	203	593	193	203	26	127	22	26
MPC	79	4	0	0	0	0	0	106	71	475	122	0	11	11	17	12	3	5	7	16	43	12	23	16	10	11	18	19	44	22	20	55	43	62	65	127	218	658	189	198	16	131	15	24
MPC	80	19	0	0	0	0	0	121	85	529	134	0	9	8	14	11	6	9	3	11	52	10	20	13	15	17	32	36	49	27	20	63	48	80	85	117	244	715	195	221	28	118	12	16
MPC	81	1	0	0	0	0	0	129	71	474	86	0	5	7	18	9	5	7	13	10	46	9	21	9	10	24	30	32	40	47	18	73	59	90	74	169	268	841	211	223	19	119	11	17
MPC	82	1	0	0	0	0	0	96	61	393	68	0	12	8	12	8	7	8	3	12	35	8	31	8	10	22	25	23	52	40	17	78	74	89	91	167	295	974	227	215	16	100	10	9
MPC	83	2	0	0	0	0	0	110	45	404	61	0	8	3	9	12	10	7	6	14	35	5	22	10	8	22	22	42	45	49	25	88	80	94	117	213	338	1098	253	236	21	102	10	13
MPC	84	0	0	0	0	0	0	92	42	403	49	0	2	7	16	8	2	8	6	15	39	11	21	11	5	22	44	33	61	41	27	106	89	135	117	275	432	1337	306	267	10	91	9	14
MPC	85	0	0	0	0	0	0	75	32	406	49	0	11	5	13	7	6	9	7	19	56	13	32	11	10	31	42	54	72	73	20	128	124	189	163	369	620	2046	440	373	15	92	6	4
MPC	86	0	0	0	0	0	0	69	33	427	68	0	15	14	15	10	7	14	12	15	55	15	63	15	10	39	41	68	80	76	27	161	188	199	215	521	743	2514	484	363	20	72	3	10
MPC	87	0	0	0	0	0	0	13	13	173	22	0	6	4	8	5	7	7	9	15	48	15	52	16	9	42	57	64	89	91	44	223	193	274	254	579	908	3081	532	322	18	63	4	6
MPC	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	14	8	51	66	85	93	137	39	245	237	291	338	678	1150	3851	641	347	10	90	2	3
MPC	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	1.51	39
GCF	3.27	37
GCF	3.77	38
GCF	4.27	35
GCF	4.77	27
GCF	5.28	25
GCF	5.78	21
GCF	6.28	23
GCF	6.78	30
GCF	7.29	26
GCF	7.79	33
GCF	8.29	37
GCF	9.05	45
GCF	10.05	42
GCF	10.80	43
GCF	11.31	48
GCF	11.81	47
GCF	12.31	50
GCF	12.81	47
GCF	13.32	56
GCF	13.82	67
GCF	14.32	73
GCF	14.82	86
GCF	15.33	90
GCF	15.83	113
GCF	16.33	117
GCF	16.83	176
GCF	17.34	181
GCF	17.84	182
GCF	18.34	277
GCF	18.84	289
GCF	19.35	537
GCF	19.85	541
GCF	20.35	871
GCF	20.85	879
GCF	21.36	1359
GCF	21.86	1370
GCF	22.36	1367
GCF	22.86	2127
GCF	23.37	2129
GCF	23.87	3093
GCF	24.37	3120
GCF	24.87	4306
GCF	25.38	4317
GCF	25.88	4333
GCF	26.38	6210
GCF	26.88	6227
GCF	27.39	7897
GCF	27.89	7918
GCF	28.39	10323
GCF	28.89	10372
GCF	29.40	12520
GCF	29.90	12509
GCF	30.40	12534
GCF	30.90	15096
GCF	31.41	15120
GCF	31.91	17694
GCF	32.41	17756
GCF	32.91	21189
GCF	33.42	21201
GCF	33.92	23826
GCF	34.42	23872
GCF	34.92	23899
GCF	35.43	26284
GCF	35.93	26327
GCF	36.43	29073
GCF	36.93	29137
GCF	37.44	31587
GCF	37.94	31658
GCF	38.44	33881
GCF	38.94	33926
GCF	39.45	33948
GCF	39.95	35358
GCF	40.45	35391
GCF	40.95	36621
GCF	41.46	36640
GCF	41.96	37601
GCF	42.46	37634
GCF	42.96	37410
GCF	43.47	37509
GCF	43.97	37569
GCF	44.47	37127
GCF	44.97	37192
GCF	45.48	36785
GCF	45.98	36809
GCF	46.48	36231
GCF	46.98	36260
GCF	47.49	35174
GCF	47.99	35177
GCF	48.49	35103
GCF	48.99	34545
GCF	49.50	34617
GCF	50.00	33784
GCF	50.50	33825
GCF	51.01	32581
GCF	51.51	32548
GCF	52.01	32561
GCF	52.51	31755
GCF	53.02	31742
GCF	53.52	31475
GCF	54.02	31467
GCF	54.52	30468
GCF	55.03	30543
GCF	55.53	29860
GCF	56.03	29869
GCF	56.53	29785
GCF	57.04	29041
GCF	57.54	29046
GCF	58.04	27826
GCF	58.54	27837
GCF	59.05	26377
GCF	59.55	26366
GCF	60.05	25113
GCF	60.55	25119
GCF	61.06	25066
GCF	61.56	22856
GCF	62.06	22827
GCF	62.56	21098
GCF	63.07	20969
GCF	63.57	18307
GCF	64.07	18328
GCF	64.57	16044
GCF	65.08	15984
GCF	65.58	15872
GCF	66.08	13274
GCF	66.58	13244
GCF	67.09	10917
GCF	67.59	10814
GCF	68.09	8397
GCF	68.59	8354
GCF	69.10	6171
GCF	69.60	6125
GCF	70.10	6061
GCF	70.60	4094
GCF	71.11	4023
GCF	71.61	2816
GCF	72.11	2792
GCF	72.61	1646
GCF	73.12	1595
GCF	73.62	932
GCF	74.12	912
GCF	74.62	862
GCF	75.13	476
GCF	75.63	439
GCF	76.13	273
GCF	76.63	263
GCF	77.14	198
GCF	77.64	193
GCF	78.14	183
GCF	78.64	162
GCF	79.15	153
GCF	79.65	133
GCF	80.15	111
GCF	80.65	102
GCF	81.16	97
GCF	81.66	86
GCF	82.16	84
GCF	82.66	80
GCF	83.17	58
GCF	83.67	55
GCF	84.17	50
GCF	84.67	47
GCF	85.18	44
GCF	85.93	42
GCF	87.19	36
GCF	88.19	32
GCF	88.69	28
GCF	89.20	27
GCF	89.70	24
GCF	90.20	21
GCF	90.70	17
GCF	91.21	15
GCF	91.71	13
GCF	92.21	14
GCF	92.96	15
GCF	93.72	13
GCF	94.22	14
GCF	94.72	13
GCF	95.48	8
GCF	96.23	6
GCF	97.24	7
GCF	98.99	6
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
GCL	0.75	483
GCL	1.76	481
GCL	2.26	480
GCL	3.02	477
GCL	3.77	478
GCL	4.27	477
GCL	4.77	485
GCL	5.28	469
GCL	5.78	454
GCL	6.28	440
GCL	6.78	418
GCL	7.29	405
GCL	7.79	394
GCL	8.29	378
GCL	8.79	375
GCL	9.30	367
GCL	9.80	357
GCL	10.30	362
GCL	10.80	361
GCL	11.31	355
GCL	11.81	368
GCL	12.31	372
GCL	12.81	373
GCL	13.32	375
GCL	13.82	373
GCL	14.32	389
GCL	14.82	409
GCL	15.33	412
GCL	15.83	451
GCL	16.33	457
GCL	16.83	535
GCL	17.34	536
GCL	17.84	539
GCL	18.34	676
GCL	18.84	681
GCL	19.35	932
GCL	19.85	977
GCL	20.35	1327
GCL	20.85	1349
GCL	21.36	1803
GCL	21.86	1808
GCL	22.36	1820
GCL	22.86	2584
GCL	23.37	2588
GCL	23.87	3665
GCL	24.37	3692
GCL	24.87	4906
GCL	25.38	4931
GCL	25.88	4966
GCL	26.38	6573
GCL	26.88	6578
GCL	27.39	8743
GCL	27.89	8762
GCL	28.39	10908
GCL	28.89	10980
GCL	29.40	13319
GCL	29.90	13347
GCL	30.40	13367
GCL	30.90	15847
GCL	31.41	15869
GCL	31.91	18609
GCL	32.41	18690
GCL	32.91	21328
GCL	33.42	21445
GCL	33.92	24490
GCL	34.42	24581
GCL	34.92	24591
GCL	35.43	27693
GCL	35.93	27716
GCL	36.43	30134
GCL	36.93	30206
GCL	37.44	32244
GCL	37.94	32293
GCL	38.44	34700
GCL	38.94	34682
GCL	39.45	34706
GCL	39.95	36017
GCL	40.45	36131
GCL	40.95	37360
GCL	41.46	37469
GCL	41.96	38012
GCL	42.46	38013
GCL	42.96	38235
GCL	43.47	38316
GCL	43.97	38376
GCL	44.47	37878
GCL	44.97	37949
GCL	45.48	37497
GCL	45.98	37541
GCL	46.48	36617
GCL	46.98	36672
GCL	47.49	36022
GCL	47.99	36028
GCL	48.49	36108
GCL	48.99	35258
GCL	49.50	35278
GCL	50.00	34087
GCL	50.50	34103
GCL	51.01	33826
GCL	51.51	33816
GCL	52.01	33896
GCL	52.51	32942
GCL	53.02	33009
GCL	53.52	32235
GCL	54.02	32294
GCL	54.52	31460
GCL	55.03	31527
GCL	55.53	30418
GCL	56.03	30467
GCL	56.53	30493
GCL	57.04	30091
GCL	57.54	30175
GCL	58.04	29048
GCL	58.54	29021
GCL	59.05	27348
GCL	59.55	27310
GCL	60.05	25838
GCL	60.55	25887
GCL	61.06	25840
GCL	61.56	23884
GCL	62.06	23806
GCL	62.56	22000
GCL	63.07	21931
GCL	63.57	19821
GCL	64.07	19716
GCL	64.57	17040
GCL	65.08	16901
GCL	65.58	16743
GCL	66.08	14523
GCL	66.58	14504
GCL	67.09	12075
GCL	67.59	11921
GCL	68.09	9629
GCL	68.59	9517
GCL	69.10	7312
GCL	69.60	7186
GCL	70.10	7047
GCL	70.60	5235
GCL	71.11	5086
GCL	71.61	3857
GCL	72.11	3830
GCL	72.61	2784
GCL	73.12	2714
GCL	73.62	2039
GCL	74.12	1994
GCL	74.62	1947
GCL	75.13	1562
GCL	75.63	1504
GCL	76.13	1331
GCL	76.63	1314
GCL	77.14	1187
GCL	77.64	1092
GCL	78.14	1053
GCL	78.64	1009
GCL	79.15	996
GCL	79.65	980
GCL	80.15	922
GCL	80.65	888
GCL	81.16	856
GCL	81.66	833
GCL	82.16	812
GCL	82.66	793
GCL	83.17	756
GCL	83.67	755
GCL	84.17	745
GCL	84.67	743
GCL	85.18	730
GCL	85.68	697
GCL	86.18	692
GCL	86.93	687
GCL	87.69	668
GCL	88.19	656
GCL	88.69	634
GCL	89.20	632
GCL	89.70	625
GCL	90.20	614
GCL	90.70	593
GCL	91.21	590
GCL	91.71	580
GCL	92.21	565
GCL	92.71	558
GCL	93.22	547
GCL	93.72	543
GCL	94.22	540
GCL	94.72	539
GCL	95.23	537
GCL	95.98	535
GCL	97.49	534
GCL	99.25	538
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	25.31	24.32	24.19	26.17	0.08	0.00
GCC	2	26.78	22.83	22.72	27.67	0.00	0.00
GCC	3	25.27	24.25	24.31	26.17	0.00	0.00
GCC	4	26.08	23.48	23.45	27.00	0.00	0.00
GCC	5	26.25	23.26	23.31	27.18	0.00	0.00
GCC	6	26.17	23.34	23.36	27.13	0.00	0.00
GCC	7	25.76	23.73	23.76	26.74	0.00	0.00
GCC	8	25.86	23.64	23.65	26.85	0.00	0.00
GCC	9	25.84	23.69	23.63	26.84	0.00	0.00
GCC	10	26.06	23.46	23.44	27.03	0.00	0.00
GCC	11	26.05	23.38	23.41	27.16	0.00	0.00
GCC	12	25.96	23.50	23.56	26.99	0.00	0.00
GCC	13	25.97	23.50	23.45	27.07	0.01	0.00
GCC	14	25.94	23.47	23.49	27.11	0.00	0.00
GCC	15	25.85	23.58	23.59	26.97	0.00	0.00
GCC	16	25.86	23.58	23.56	26.99	0.00	0.00
GCC	17	25.91	23.54	23.54	27.02	0.00	0.00
GCC	18	25.84	23.61	23.60	26.95	0.00	0.00
GCC	19	25.83	23.54	23.60	27.02	0.00	0.00
GCC	20	25.83	23.56	23.55	27.06	0.00	0.00
GCC	21	25.78	23.57	23.67	26.97	0.00	0.00
GCC	22	25.77	23.57	23.62	27.04	0.00	0.00
GCC	23	25.92	23.50	23.52	27.06	0.00	0.00
GCC	24	25.71	23.63	23.63	27.03	0.00	0.00
GCC	25	25.75	23.58	23.53	27.14	0.00	0.00
GCC	26	25.76	23.62	23.52	27.11	0.00	0.00
GCC	27	25.72	23.64	23.63	27.02	0.00	0.00
GCC	28	25.68	23.67	23.58	27.07	0.00	0.00
GCC	29	25.78	23.52	23.56	27.14	0.00	0.00
GCC	30	25.63	23.65	23.68	27.04	0.00	0.00
GCC	31	25.75	23.61	23.59	27.05	0.00	0.00
GCC	32	25.73	23.57	23.57	27.14	0.00	0.00
GCC	33	25.57	23.64	23.66	27.12	0.00	0.00
GCC	34	25.69	23.53	23.64	27.13	0.00	0.00
GCC	35	25.67	23.62	23.59	27.11	0.00	0.00
GCC	36	25.58	23.72	23.68	27.02	0.00	0.00
GCC	37	25.65	23.61	23.66	27.09	0.00	0.00
GCC	38	25.57	23.58	23.62	27.23	0.00	0.00
GCC	39	25.54	23.69	23.64	27.13	0.00	0.00
GCC	40	25.53	23.67	23.65	27.16	0.00	0.00
GCC	41	25.59	23.59	23.61	27.21	0.00	0.00
GCC	42	25.54	23.64	23.66	27.15	0.00	0.00
GCC	43	25.57	23.59	23.63	27.20	0.00	0.00
GCC	44	25.55	23.59	23.66	27.20	0.00	0.00
GCC	45	25.57	23.66	23.58	27.19	0.00	0.00
GCC	46	25.54	23.71	23.62	27.12	0.00	0.00
GCC	47	25.50	23.66	23.57	27.27	0.00	0.00
GCC	48	25.52	23.65	23.65	27.18	0.00	0.00
GCC	49	25.50	23.62	23.68	27.20	0.00	0.00
GCC	50	25.49	23.68	23.59	27.25	0.01	0.00
GCC	51	25.44	23.70	23.66	27.19	0.00	0.00
GCC	52	25.52	23.64	23.64	27.20	0.00	0.00
GCC	53	25.50	23.64	23.61	27.25	0.00	0.00
GCC	54	25.49	23.65	23.64	27.22	0.00	0.00
GCC	55	25.54	23.63	23.67	27.16	0.00	0.00
GCC	56	25.47	23.59	23.67	27.28	0.00	0.00
GCC	57	25.50	23.61	23.69	27.21	0.00	0.00
GCC	58	25.53	23.69	23.63	27.15	0.00	0.00
GCC	59	25.53	23.56	23.62	27.30	0.00	0.00
GCC	60	25.44	23.65	23.72	27.19	0.00	0.00
GCC	61	25.52	23.64	23.67	27.17	0.00	0.00
GCC	62	25.54	23.59	23.64	27.24	0.00	0.00
GCC	63	25.44	23.67	23.66	27.23	0.00	0.00
GCC	64	25.44	23.62	23.66	27.28	0.00	0.00
GCC	65	25.51	23.64	23.63	27.23	0.00	0.00
GCC	66	25.49	23.64	23.69	27.18	0.00	0.00
GCC	67	25.48	23.62	23.64	27.26	0.00	0.00
GCC	68	25.48	23.63	23.67	27.23	0.00	0.00
GCC	69	25.50	23.60	23.69	27.21	0.00	0.00
GCC	70	25.44	23.64	23.63	27.29	0.00	0.00
GCC	71	25.51	23.60	23.61	27.27	0.00	0.00
GCC	72	25.46	23.66	23.63	27.25	0.00	0.00
GCC	73	25.51	23.64	23.68	27.17	0.01	0.00
GCC	74	25.57	23.63	23.59	27.21	0.01	0.00
GCC	75	25.51	23.63	23.67	27.20	0.00	0.00
GCC	76	25.48	23.61	23.68	27.23	0.01	0.00
GCC	77	25.59	23.58	23.59	27.24	0.00	0.00
GCC	78	25.50	23.66	23.70	27.14	0.00	0.00
GCC	79	25.59	23.57	23.61	27.23	0.00	0.00
GCC	80	25.55	23.64	23.62	27.19	0.00	0.00
GCC	81	25.53	23.64	23.66	27.17	0.00	0.00
GCC	82	25.57	23.61	23.63	27.19	0.00	0.00
GCC	83	25.60	23.63	23.56	27.21	0.00	0.00
GCC	84	25.58	23.62	23.63	27.18	0.00	0.00
GCC	85	25.57	23.63	23.58	27.23	0.00	0.00
GCC	86	25.64	23.56	23.60	27.20	0.00	0.00
GCC	87	25.54	23.65	23.64	27.17	0.00	0.00
GCC	88	25.57	23.63	23.62	27.17	0.00	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	25.47	25.28	23.23	26.01
GCT	2	26.66	22.70	22.85	27.79
GCT	3	26.29	24.92	23.64	25.15
GCT	4	25.75	23.49	23.44	27.32
GCT	5	26.01	23.98	22.59	27.42
GCT	6	25.43	24.21	22.49	27.87
GCT	7	26.21	24.31	23.19	26.29
GCT	8	26.10	24.12	23.18	26.60
GCT	9	26.04	24.05	23.27	26.63
GCT	10	26.23	23.84	23.07	26.86
GCT	11	26.31	23.67	23.11	26.91
GCT	12	26.08	24.05	23.01	26.86
GCT	13	26.11	23.96	22.99	26.93
GCT	14	26.14	23.87	23.08	26.91
GCT	15	25.97	24.13	23.05	26.85
GCT	16	25.98	24.10	23.05	26.87
GCT	17	26.10	23.90	23.17	26.82
GCT	18	25.97	24.07	23.14	26.82
GCT	19	26.07	24.07	23.08	26.79
GCT	20	26.07	23.93	23.18	26.82
GCT	21	26.03	24.11	23.13	26.73
GCT	22	26.08	24.04	23.15	26.74
GCT	23	26.22	23.84	23.18	26.76
GCT	24	26.04	23.97	23.29	26.69
GCT	25	26.17	23.92	23.19	26.72
GCT	26	26.12	23.83	23.30	26.74
GCT	27	26.02	23.97	23.30	26.71
GCT	28	26.15	23.95	23.29	26.60
GCT	29	26.24	23.77	23.31	26.67
GCT	30	26.14	24.01	23.32	26.53
GCT	31	26.20	23.93	23.27	26.60
GCT	32	26.27	23.77	23.36	26.60
GCT	33	26.15	23.97	23.34	26.54
GCT	34	26.20	23.90	23.28	26.63
GCT	35	26.19	23.79	23.43	26.60
GCT	36	26.06	23.99	23.42	26.54
GCT	37	26.18	23.92	23.34	26.56
GCT	38	26.24	23.79	23.41	26.56
GCT	39	26.15	23.93	23.39	26.53
GCT	40	26.17	23.89	23.43	26.51
GCT	41	26.22	23.80	23.40	26.58
GCT	42	26.15	23.91	23.40	26.54
GCT	43	26.23	23.83	23.40	26.55
GCT	44	26.25	23.77	23.48	26.50
GCT	45	26.23	23.85	23.39	26.53
GCT	46	26.19	23.89	23.45	26.47
GCT	47	26.28	23.77	23.46	26.49
GCT	48	26.20	23.86	23.44	26.50
GCT	49	26.18	23.85	23.45	26.53
GCT	50	26.20	23.74	23.53	26.53
GCT	51	26.16	23.85	23.52	26.47
GCT	52	26.19	23.83	23.45	26.53
GCT	53	26.30	23.77	23.48	26.45
GCT	54	26.24	23.84	23.44	26.48
GCT	55	26.21	23.80	23.51	26.48
GCT	56	26.23	23.75	23.50	26.52
GCT	57	26.23	23.84	23.46	26.48
GCT	58	26.21	23.84	23.48	26.47
GCT	59	26.30	23.66	23.52	26.52
GCT	60	26.19	23.86	23.51	26.43
GCT	61	26.23	23.82	23.49	26.46
GCT	62	26.35	23.63	23.59	26.43
GCT	63	26.25	23.81	23.52	26.42
GCT	64	26.27	23.78	23.51	26.45
GCT	65	26.33	23.66	23.61	26.40
GCT	66	26.25	23.80	23.54	26.42
GCT	67	26.33	23.72	23.54	26.41
GCT	68	26.35	23.67	23.63	26.35
GCT	69	26.29	23.76	23.53	26.42
GCT	70	26.29	23.77	23.50	26.44
GCT	71	26.29	23.61	23.61	26.50
GCT	72	26.30	23.70	23.59	26.40
GCT	73	26.33	23.79	23.53	26.35
GCT	74	26.41	23.61	23.61	26.37
GCT	75	26.40	23.68	23.62	26.31
GCT	76	26.32	23.64	23.65	26.38
GCT	77	26.45	23.56	23.62	26.38
GCT	78	26.32	23.70	23.66	26.32
GCT	79	26.45	23.65	23.53	26.38
GCT	80	26.40	23.57	23.70	26.33
GCT	81	26.40	23.67	23.62	26.31
GCT	82	26.42	23.67	23.57	26.34
GCT	83	26.51	23.55	23.63	26.30
GCT	84	26.41	23.65	23.59	26.34
GCT	85	26.53	23.57	23.64	26.26
GCT	86	26.52	23.45	23.71	26.32
GCT	87	26.48	23.68	23.61	26.22
GCT	88	26.59	23.60	23.66	26.15
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	25.36	24.25	24.17	26.22	0.15	0.00
FBC	2	26.65	22.91	22.81	27.63	0.00	0.00
FBC	3	25.22	24.30	24.37	26.11	0.00	0.00
FBC	4	26.11	23.52	23.43	26.94	0.00	0.00
FBC	5	26.17	23.34	23.38	27.10	0.00	0.00
FBC	6	26.11	23.45	23.34	27.10	0.00	0.00
FBC	7	25.68	23.80	23.81	26.72	0.00	0.00
FBC	8	25.79	23.70	23.69	26.82	0.00	0.00
FBC	9	25.74	23.76	23.67	26.82	0.00	0.00
FBC	10	25.99	23.54	23.47	27.01	0.00	0.00
FBC	11	25.97	23.45	23.48	27.10	0.00	0.00
FBC	12	25.91	23.55	23.62	26.92	0.00	0.00
FBC	13	25.95	23.53	23.50	27.03	0.00	0.00
FBC	14	25.93	23.52	23.52	27.04	0.00	0.00
FBC	15	25.79	23.68	23.65	26.88	0.00	0.00
FBC	16	25.83	23.65	23.59	26.94	0.00	0.00
FBC	17	25.80	23.63	23.61	26.95	0.00	0.00
FBC	18	25.78	23.58	23.68	26.97	0.00	0.00
FBC	19	25.77	23.57	23.71	26.94	0.00	0.00
FBC	20	25.79	23.55	23.64	27.03	0.00	0.00
FBC	21	25.69	23.63	23.75	26.93	0.00	0.00
FBC	22	25.72	23.62	23.65	27.01	0.00	0.00
FBC	23	25.87	23.54	23.55	27.04	0.00	0.00
FBC	24	25.64	23.70	23.67	26.99	0.00	0.00
FBC	25	25.69	23.58	23.61	27.11	0.00	0.00
FBC	26	25.72	23.62	23.57	27.09	0.00	0.00
FBC	27	25.68	23.70	23.66	26.96	0.00	0.00
FBC	28	25.61	23.72	23.61	27.06	0.00	0.00
FBC	29	25.72	23.58	23.56	27.14	0.00	0.00
FBC	30	25.63	23.63	23.72	27.01	0.00	0.00
FBC	31	25.66	23.69	23.62	27.03	0.00	0.00
FBC	32	25.67	23.57	23.61	27.14	0.00	0.00
FBC	33	25.49	23.72	23.67	27.11	0.00	0.00
FBC	34	25.64	23.57	23.66	27.12	0.00	0.00
FBC	35	25.65	23.65	23.63	27.07	0.00	0.00
FBC	36	25.55	23.75	23.73	26.98	0.00	0.00
FBC	37	25.66	23.60	23.70	27.04	0.00	0.00
FBC	38	25.51	23.61	23.67	27.20	0.00	0.00
FBC	39	25.52	23.73	23.64	27.11	0.00	0.00
FBC	40	25.52	23.71	23.66	27.11	0.00	0.00
FBC	41	25.54	23.59	23.66	27.21	0.00	0.00
FBC	42	25.52	23.65	23.69	27.14	0.00	0.00
FBC	43	25.56	23.64	23.66	27.14	0.00	0.00
FBC	44	25.53	23.58	23.70	27.19	0.00	0.00
FBC	45	25.56	23.66	23.58	27.19	0.00	0.00
FBC	46	25.51	23.70	23.67	27.12	0.00	0.00
FBC	47	25.43	23.65	23.66	27.26	0.01	0.00
FBC	48	25.48	23.68	23.69	27.15	0.00	0.00
FBC	49	25.44	23.66	23.75	27.15	0.00	0.00
FBC	50	25.47	23.77	23.61	27.16	0.02	0.00
FBC	51	25.40	23.73	23.70	27.18	0.00	0.00
FBC	52	25.47	23.64	23.68	27.21	0.00	0.00
FBC	53	25.44	23.70	23.62	27.24	0.00	0.00
FBC	54	25.44	23.68	23.63	27.25	0.00	0.00
FBC	55	25.52	23.68	23.69	27.12	0.00	0.00
FBC	56	25.41	23.64	23.72	27.23	0.00	0.00
FBC	57	25.50	23.63	23.72	27.15	0.00	0.00
FBC	58	25.49	23.76	23.65	27.10	0.00	0.00
FBC	59	25.44	23.58	23.69	27.29	0.00	0.00
FBC	60	25.38	23.69	23.78	27.14	0.00	0.00
FBC	61	25.49	23.68	23.66	27.17	0.00	0.00
FBC	62	25.47	23.65	23.69	27.19	0.00	0.00
FBC	63	25.44	23.72	23.70	27.15	0.00	0.00
FBC	64	25.41	23.69	23.66	27.24	0.00	0.00
FBC	65	25.48	23.65	23.63	27.24	0.00	0.00
FBC	66	25.46	23.72	23.72	27.10	0.00	0.00
FBC	67	25.41	23.68	23.64	27.26	0.00	0.00
FBC	68	25.41	23.72	23.67	27.20	0.00	0.00
FBC	69	25.45	23.61	23.72	27.22	0.00	0.00
FBC	70	25.41	23.65	23.64	27.30	0.00	0.00
FBC	71	25.50	23.63	23.70	27.17	0.00	0.00
FBC	72	25.42	23.73	23.68	27.18	0.00	0.00
FBC	73	25.53	23.69	23.68	27.09	0.00	0.00
FBC	74	25.54	23.68	23.61	27.18	0.01	0.00
FBC	75	25.48	23.70	23.69	27.14	0.00	0.00
FBC	76	25.42	23.64	23.77	27.18	0.00	0.00
FBC	77	25.58	23.63	23.59	27.20	0.00	0.00
FBC	78	25.45	23.76	23.75	27.04	0.00	0.00
FBC	79	25.51	23.61	23.63	27.25	0.00	0.00
FBC	80	25.51	23.68	23.65	27.17	0.00	0.00
FBC	81	25.49	23.70	23.69	27.12	0.00	0.00
FBC	82	25.51	23.67	23.65	27.18	0.00	0.00
FBC	83	25.58	23.70	23.58	27.14	0.00	0.00
FBC	84	25.56	23.67	23.65	27.11	0.00	0.00
FBC	85	25.53	23.69	23.60	27.17	0.00	0.00
FBC	86	25.64	23.57	23.63	27.16	0.00	0.00
FBC	87	25.48	23.70	23.70	27.11	0.00	0.00
FBC	88	25.49	23.71	23.72	27.09	0.00	0.00
# ACGT raw counters for first fragments. Use `grep ^FTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
FTC	22230324	20533890	20532781	23517446	1972
# ACGT content per cycle for last fragments. Use `grep ^LBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
LBC	1	25.26	24.39	24.22	26.13	0.00	0.00
LBC	2	26.92	22.75	22.63	27.70	0.00	0.00
LBC	3	25.33	24.19	24.25	26.22	0.00	0.00
LBC	4	26.05	23.43	23.47	27.05	0.00	0.00
LBC	5	26.33	23.17	23.24	27.25	0.00	0.00
LBC	6	26.23	23.24	23.37	27.15	0.00	0.00
LBC	7	25.84	23.67	23.72	26.77	0.00	0.00
LBC	8	25.93	23.58	23.61	26.87	0.00	0.00
LBC	9	25.93	23.62	23.58	26.86	0.00	0.00
LBC	10	26.14	23.39	23.41	27.05	0.00	0.00
LBC	11	26.14	23.30	23.33	27.23	0.00	0.00
LBC	12	26.00	23.44	23.51	27.05	0.00	0.00
